#id node1_id node2_id length
0 0 1 0.2
1 1 2 0.2
2 2 3 0.2
3 3 4 0.2
4 4 5 0.2
5 6 7 0.2
6 7 8 0.2
7 8 9 0.2
8 9 10 0.2
9 10 11 0.2
10 12 13 0.2
11 13 14 0.2
12 14 15 0.2
13 15 16 0.2
14 16 17 0.2
15 18 19 0.2
16 19 20 0.2
17 20 21 0.2
18 21 22 0.2
19 22 23 0.2
20 24 25 0.2
21 25 26 0.2
22 26 27 0.2
23 27 28 0.2
24 28 29 0.2
25 30 31 0.2
26 31 32 0.2
27 32 33 0.2
28 33 34 0.2
29 34 35 0.2
30 0 6 0.2
31 6 12 0.2
32 12 18 0.2
33 18 24 0.2
34 24 30 0.2
35 1 7 0.2
36 7 13 0.2
37 13 19 0.2
38 19 25 0.2
39 25 31 0.2
40 2 8 0.2
41 8 14 0.2
42 14 20 0.2
43 20 26 0.2
44 26 32 0.2
45 3 9 0.2
46 9 15 0.2
47 15 21 0.2
48 21 27 0.2
49 27 33 0.2
50 4 10 0.2
51 10 16 0.2
52 16 22 0.2
53 22 28 0.2
54 28 34 0.2
55 5 11 0.2
56 11 17 0.2
57 17 23 0.2
58 23 29 0.2
59 29 35 0.2
