---- Log file ----
Sub Steps: 10
Relaxation Steps: 1
------------------
t total_energy length_error
8.849589 1800.0 5.364418E-7
8.862092 1799.9595 7.6293945E-6
8.874595 1799.814 9.864569E-5
8.887097 1799.4326 4.452318E-4
8.8996 1798.7317 0.0012371093
8.912103 1797.6953 0.0026074946
8.924605 1796.3549 0.004595861
8.937108 1794.7604 0.007082075
8.949611 1792.9651 0.0098050535
8.962113 1791.0214 0.012442887
8.974616 1788.9889 0.014757901
8.987119 1786.9121 0.01671496
8.999621 1784.8203 0.018502802
9.012124 1782.7183 0.02033171
9.024627 1780.6113 0.022226587
9.037129 1778.5287 0.02394721
9.049632 1776.4922 0.025070354
9.062135 1774.521 0.025223896
9.074637 1772.609 0.024649322
9.08714 1770.7183 0.023835853
9.099643 1768.8 0.023133948
9.112145 1766.8387 0.022582397
9.124648 1764.8466 0.022176668
9.137151 1762.8339 0.02184914
9.149653 1760.8115 0.02155146
9.162156 1758.7772 0.021286279
9.174659 1756.734 0.021235123
9.187161 1754.679 0.021557137
9.199664 1752.6063 0.022328138
9.212167 1750.5146 0.023445994
9.224669 1748.4036 0.024787545
9.237172 1746.2859 0.026322067
9.249675 1744.165 0.027915478
9.262177 1742.0498 0.0295254
9.27468 1739.9462 0.031193435
9.287183 1737.866 0.03293082
9.2996855 1735.8141 0.03451775
9.312188 1733.8108 0.035809323
9.324691 1731.8578 0.036750674
9.3371935 1729.9545 0.03745514
9.349696 1728.0891 0.037943095
9.362199 1726.0884 0.038077474
9.3747015 1724.4757 0.039097533
9.387204 1722.833 0.039376646
9.399707 1721.304 0.039540052
9.4122095 1719.7617 0.037831083
9.424712 1718.2117 0.03778985
9.437215 1716.6816 0.039011553
9.4497175 1715.1713 0.03898081
9.46222 1713.6874 0.03795953
9.474723 1712.2245 0.037386373
9.487226 1710.7832 0.03762965
9.499728 1709.3586 0.038202703
9.512231 1707.9575 0.038370788
9.524734 1706.5892 0.038334355
9.537236 1705.2498 0.03852123
9.549739 1703.8873 0.03907515
9.562242 1702.6157 0.03993395
9.574744 1701.2982 0.04305592
9.587247 1700.2107 0.04291725
9.59975 1699.2191 0.040641114
9.612252 1698.1935 0.04178916
9.624755 1697.0891 0.047292992
9.637258 1696.0762 0.049395487
9.64976 1695.1484 0.048390627
9.662263 1694.2899 0.046629056
9.674766 1693.4824 0.04663205
9.687268 1692.5886 0.048611537
9.699771 1691.9353 0.050871015
9.712274 1691.2579 0.04941356
9.724776 1690.7725 0.04876104
9.737279 1690.2853 0.04901418
9.749782 1689.8165 0.050742283
9.762284 1689.371 0.051207304
9.774787 1688.8431 0.052931294
