#id x y z types
0 0 5 0 Base
1 0.2 5 0 Node
2 0.4 5 0 Node
3 0.6 5 0 Node
4 0.8 5 0 Node
5 1.0 5 0 Base
6 0 5 0.2 Node
7 0.2 5 0.2 Node
8 0.4 5 0.2 Node
9 0.6 5 0.2 Node
10 0.8 5 0.2 Node
11 1.0 5 0.2 Node
12 0 5 0.4 Node
13 0.2 5 0.4 Node
14 0.4 5 0.4 Node
15 0.6 5 0.4 Node
16 0.8 5 0.4 Node
17 1.0 5 0.4 Node
18 0 5 0.6 Node
19 0.2 5 0.6 Node
20 0.4 5 0.6 Node
21 0.6 5 0.6 Node
22 0.8 5 0.6 Node
23 1.0 5 0.6 Node
24 0 5 0.8 Node
25 0.2 5 0.8 Node
26 0.4 5 0.8 Node
27 0.6 5 0.8 Node
28 0.8 5 0.8 Node
29 1.0 5 0.8 Node
30 0 5 1 Node
31 0.2 5 1 Node
32 0.4 5 1 Node
33 0.6 5 1 Node
34 0.8 5 1 Node
35 1.0 5 1 Node
