#id node1_id node2_id node3_id u0 v0 u1 v1 type
0 0 1 6 0 0 0.2 0.2 ul
1 1 7 6 0 0 0.2 0.2 dr
2 1 2 7 0.2 0 0.4 0.2 ul
3 2 8 7 0.2 0 0.4 0.2 dr
4 2 3 8 0.4 0 0.6 0.2 ul
5 3 9 8 0.4 0 0.6 0.2 dr
6 3 4 9 0.6 0 0.8 0.2 ul
7 4 10 9 0.6 0 0.8 0.2 dr
8 4 5 10 0.8 0 1 0.2 ul
9 5 11 10 0.8 0 1 0.2 dr
10 6 7 12 0 0.2 0.2 0.4 ul
11 7 13 12 0 0.2 0.2 0.4 dr
12 7 8 13 0.2 0.2 0.4 0.4 ul
13 8 14 13 0.2 0.2 0.4 0.4 dr
14 8 9 14 0.4 0.2 0.6 0.4 ul
15 9 15 14 0.4 0.2 0.6 0.4 dr
16 9 10 15 0.6 0.2 0.8 0.4 ul
17 10 16 15 0.6 0.2 0.8 0.4 dr
18 10 11 16 0.8 0.2 1 0.4 ul
19 11 17 16 0.8 0.2 1 0.4 dr
20 12 13 18 0 0.4 0.2 0.6 ul
21 13 19 18 0 0.4 0.2 0.6 dr
22 13 14 19 0.2 0.4 0.4 0.6 ul
23 14 20 19 0.2 0.4 0.4 0.6 dr
24 14 15 20 0.4 0.4 0.6 0.6 ul
25 15 21 20 0.4 0.4 0.6 0.6 dr
26 15 16 21 0.6 0.4 0.8 0.6 ul
27 16 22 21 0.6 0.4 0.8 0.6 dr
28 16 17 22 0.8 0.4 1 0.6 ul
29 17 23 22 0.8 0.4 1 0.6 dr
30 18 19 24 0 0.6 0.2 0.8 ul
31 19 25 24 0 0.6 0.2 0.8 dr
32 19 20 25 0.2 0.6 0.4 0.8 ul
33 20 26 25 0.2 0.6 0.4 0.8 dr
34 20 21 26 0.4 0.6 0.6 0.8 ul
35 21 27 26 0.4 0.6 0.6 0.8 dr
36 21 22 27 0.6 0.6 0.8 0.8 ul
37 22 28 27 0.6 0.6 0.8 0.8 dr
38 22 23 28 0.8 0.6 1 0.8 ul
39 23 29 28 0.8 0.6 1 0.8 dr
40 24 25 30 0 0.8 0.2 1 ul
41 25 31 30 0 0.8 0.2 1 dr
42 25 26 31 0.2 0.8 0.4 1 ul
43 26 32 31 0.2 0.8 0.4 1 dr
44 26 27 32 0.4 0.8 0.6 1 ul
45 27 33 32 0.4 0.8 0.6 1 dr
46 27 28 33 0.6 0.8 0.8 1 ul
47 28 34 33 0.6 0.8 0.8 1 dr
48 28 29 34 0.8 0.8 1 1 ul
49 29 35 34 0.8 0.8 1 1 dr
